"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New Orleans Saints (NO)","2","2","1","0","1","0","0","1","24.0","24.0","64.1%"
"2","Pittsburgh Steelers (PIT)","4","1","2","3","0","1","0","1","18.0","18.0","75.8%"
"3","New York Jets (NYJ)","4","0","3","2","1","1","0","1","18.0","18.0","82.3%"
"4","San Francisco 49ers (SF)","4","3","1","1","0","0","0","1","16.0","16.0","97.8%"
"5","Cincinnati Bengals (CIN)","3","2","1","1","1","0","0","1","16.0","16.0","50.0%"
"6","New York Giants (NYG)","1","2","1","2","1","0","0","1","12.0","12.0","2.3%"
"7","Las Vegas Raiders (LV)","2","3","0","0","0","0","0","1","12.0","12.0","24.7%"
"8","Miami Dolphins (MIA)","7","0","0","1","0","0","0","1","11.0","11.0","69.9%"
"9","Chicago Bears (CHI)","5","1","1","1","0","0","0","1","10.0","10.0","34.0%"
"10","Green Bay Packers (GB)","4","1","0","0","0","0","0","1","9.0","9.0","26.4%"
"11","Buffalo Bills (BUF)","5","0","2","3","0","0","0","1","9.0","9.0","61.0%"
"12","Denver Broncos (DEN)","4","1","1","2","0","0","0","1","8.0","8.0","34.5%"
"13","Detroit Lions (DET)","1","2","1","1","0","0","0","1","7.0","7.0","38.1%"
"14","Baltimore Ravens (BAL)","3","0","1","0","0","0","0","1","6.0","6.0","86.1%"
"15","Kansas City Chiefs (KC)","3","0","1","1","0","0","0","1","6.0","6.0","77.7%"
"16","Jacksonville Jaguars (JAC)","0","1","1","1","0","0","0","1","5.0","5.0","50.3%"
"17","Philadelphia Eagles (PHI)","4","0","0","1","0","0","0","1","5.0","5.0","51.6%"
"18","Arizona Cardinals (ARI)","3","1","0","1","0","0","0","1","4.0","4.0","0.9%"
"19","Indianapolis Colts (IND)","1","1","0","0","0","0","0","1","4.0","4.0","26.6%"
"20","Houston Texans (HOU)","0","0","2","2","0","0","0","1","4.0","4.0","32.0%"
"21","Los Angeles Rams (LAR)","1","1","0","0","0","0","0","1","3.0","3.0","21.2%"
"22","Minnesota Vikings (MIN)","2","0","0","0","0","0","0","1","2.0","2.0","10.9%"
"23","New England Patriots (NE)","2","0","0","0","0","0","0","1","1.0","1.0","13.6%"
"24","Atlanta Falcons (ATL)","0","0","0","0","0","0","0","1","1.0","1.0","16.7%"
"25","Tennessee Titans (TEN)","1","0","0","1","0","0","0","1","1.0","1.0","3.5%"
"26","Cleveland Browns (CLE)","0","0","0","0","0","0","0","0","0","0","94.2%"
"27","Los Angeles Chargers (LAC)","0","0","0","0","0","0","0","0","0","0","13.6%"
"28","Seattle Seahawks (SEA)","0","0","0","0","0","0","0","0","0","0","22.1%"
"29","Tampa Bay Buccaneers (TB)","0","0","0","0","0","0","0","0","0","0","20.8%"
"30","Dallas Cowboys (DAL)","1","0","1","1","0","0","0","1","-1.0","-1.0","92.7%"
"31","Washington Commanders (WAS)","3","0","0","1","0","0","0","1","-1.0","-1.0","8.1%"
"32","Carolina Panthers (CAR)","2","0","0","0","0","0","0","1","-2.0","-2.0","3.0%"
""
""
