"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Las Vegas Raiders (LV)","3","1","4","4","2","0","0","1","25.0","25.0","24.7%"
"2","Miami Dolphins (MIA)","6","2","2","2","0","0","0","1","24.0","24.0","69.9%"
"3","Chicago Bears (CHI)","4","3","0","1","1","0","0","1","17.0","17.0","34.0%"
"4","New Orleans Saints (NO)","7","0","0","0","0","0","0","1","14.0","14.0","64.1%"
"5","Indianapolis Colts (IND)","4","2","1","1","0","0","0","1","14.0","14.0","26.6%"
"6","Cleveland Browns (CLE)","3","2","1","1","0","0","0","1","13.0","13.0","94.2%"
"7","Tennessee Titans (TEN)","4","1","0","0","1","0","0","1","13.0","13.0","3.5%"
"8","Houston Texans (HOU)","7","1","0","1","0","0","0","1","13.0","13.0","32.0%"
"9","San Francisco 49ers (SF)","3","2","0","3","1","0","0","1","12.0","12.0","97.8%"
"10","Baltimore Ravens (BAL)","1","0","2","2","0","0","0","1","9.0","9.0","86.1%"
"11","Buffalo Bills (BUF)","3","1","0","0","0","0","0","1","9.0","9.0","61.0%"
"12","Carolina Panthers (CAR)","0","1","1","1","0","0","0","1","8.0","8.0","3.0%"
"13","Atlanta Falcons (ATL)","3","0","0","1","0","0","0","1","7.0","7.0","16.7%"
"14","Kansas City Chiefs (KC)","4","1","0","1","0","0","0","1","7.0","7.0","77.7%"
"15","Minnesota Vikings (MIN)","5","1","0","1","0","0","0","1","7.0","7.0","10.9%"
"16","New England Patriots (NE)","3","2","0","1","0","0","0","1","7.0","7.0","13.6%"
"17","Cincinnati Bengals (CIN)","3","2","0","0","0","0","0","1","7.0","7.0","50.0%"
"18","Los Angeles Rams (LAR)","1","1","0","0","0","0","0","1","6.0","6.0","21.2%"
"19","Washington Commanders (WAS)","3","0","2","2","0","0","0","1","6.0","6.0","8.1%"
"20","Green Bay Packers (GB)","5","0","1","1","0","0","0","1","6.0","6.0","26.4%"
"21","Jacksonville Jaguars (JAC)","3","1","0","0","0","0","0","1","5.0","5.0","50.3%"
"22","Seattle Seahawks (SEA)","0","2","0","0","0","0","0","1","5.0","5.0","22.1%"
"23","Detroit Lions (DET)","2","0","1","1","0","0","0","1","5.0","5.0","38.1%"
"24","Tampa Bay Buccaneers (TB)","2","0","1","2","0","0","0","1","5.0","5.0","20.8%"
"25","Pittsburgh Steelers (PIT)","3","0","0","0","0","0","0","1","4.0","4.0","75.8%"
"26","Philadelphia Eagles (PHI)","2","0","0","0","0","0","0","1","3.0","3.0","51.6%"
"27","New York Jets (NYJ)","3","0","0","0","0","0","0","1","2.0","2.0","82.3%"
"28","New York Giants (NYG)","1","0","0","0","0","0","0","1","1.0","1.0","2.3%"
"29","Dallas Cowboys (DAL)","1","0","0","1","0","0","0","1","0.0","0.0","92.7%"
"30","Denver Broncos (DEN)","2","0","0","0","0","0","0","1","-2.0","-2.0","34.5%"
"31","Los Angeles Chargers (LAC)","1","0","0","0","0","0","0","1","-3.0","-3.0","13.6%"
"32","Arizona Cardinals (ARI)","0","0","0","0","0","0","0","1","-4.0","-4.0","0.9%"
""
""
